Zip,Zip,NAICSIndustry,PctLoanMin
93622.0,93622.0,Motor Vehicle Towing,3.6415818093308254
93622.0,93622.0,Postharvest Crop Activities (except Cotton Ginning) ,3.6415818093308254
93623.0,93623.0,Hotels (except Casino Hotels) and Motels ,55.293091087098084
93623.0,93623.0,Residential Remodelers ,44.70690891290192
93623.0,93623.0,All Other Travel Arrangement and Reservation Services ,0.0
93626.0,93626.0,New Multifamily Housing Construction (except For-Sale Builders) ,17.10478942724777
93626.0,93626.0,UNKNOWN,13.494173636628892
93626.0,93626.0,Farm Management Services ,11.631256810528482
93626.0,93626.0,Wineries ,8.210298925078929
93626.0,93626.0,Secondary Market Financing ,7.526107347989019
93626.0,93626.0,Painting and Wall Covering Contractors,6.8145481078155115
93626.0,93626.0,Offices of Physicians (except Mental Health Specialists) ,6.217020341029271
93626.0,93626.0,Marinas,5.282369490080365
93626.0,93626.0,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,4.789341039629376
93626.0,93626.0,All Other Miscellaneous Crop Farming ,4.376773518644159
93630.0,93630.0,Solid Waste Landfill ,11.508470892763667
93630.0,93630.0,Farm Management Services ,10.018324698238688
93630.0,93630.0,Electrical Contractors and Other Wiring Installation Contractors,9.794443312990355
93630.0,93630.0,Water Supply and Irrigation Systems ,5.631804904969454
93630.0,93630.0,Tree Nut Farming ,5.426386877893789
93630.0,93630.0,"All Other Professional, Scientific, and Technical Services",5.243538480377547
93630.0,93630.0,Office Administrative Services,5.061787893040041
93630.0,93630.0,Fruit and Tree Nut Combination Farming ,5.017278024848488
93630.0,93630.0,All Other Miscellaneous General Purpose Machinery Manufacturing ,4.897221656495177
93630.0,93630.0,Dairy Cattle and Milk Production,2.6724065121169334
93633.0,93633.0,Nature Parks and Other Similar Institutions,100.0
93634.0,93634.0,Hotels (except Casino Hotels) and Motels ,100.0
93635.0,93635.0,Dairy Cattle and Milk Production,7.641466284775783
93635.0,93635.0,Employment Placement Agencies ,6.223077034425445
93635.0,93635.0,All Other Miscellaneous Crop Farming ,5.911749837939983
93635.0,93635.0,UNKNOWN,5.726708002130899
93635.0,93635.0,Postharvest Crop Activities (except Cotton Ginning) ,4.9527075482892515
93635.0,93635.0,Offices of Physicians (except Mental Health Specialists) ,4.937365808319081
93635.0,93635.0,Full-Service Restaurants ,3.605291412845966
93635.0,93635.0,Tree Nut Farming ,3.3311948843439465
93635.0,93635.0,Gasoline Stations with Convenience Stores ,3.2531480794478376
93635.0,93635.0,Cotton Farming,3.003916182188397
93636.0,93636.0,UNKNOWN,9.26659239791707
93636.0,93636.0,Boat Dealers ,6.200456281848251
93636.0,93636.0,Wineries ,4.11505271030558
93636.0,93636.0,Other Management Consulting Services ,4.070923099115824
93636.0,93636.0,New Car Dealers ,3.514116500380635
93636.0,93636.0,New Single-Family Housing Construction (except For-Sale Builders) ,3.4796891441333075
93636.0,93636.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,3.1234330732518703
93636.0,93636.0,Supermarkets and Other Grocery (except Convenience) Stores ,3.1128366012640565
93636.0,93636.0,Beef Cattle Ranching and Farming ,3.020106293657618
93636.0,93636.0,All Other Miscellaneous Crop Farming ,2.8958548352013533
93637.0,93637.0,Other Management Consulting Services ,10.01869781558364
93637.0,93637.0,Offices of Physicians (except Mental Health Specialists) ,6.441042546175586
93637.0,93637.0,Dairy Cattle and Milk Production,6.006301512462295
93637.0,93637.0,All Other Specialty Trade Contractors,4.69790967123615
93637.0,93637.0,Farm Management Services ,4.310208106908258
93637.0,93637.0,Tree Nut Farming ,3.961635588806304
93637.0,93637.0,Packing and Crating ,2.8491172847956756
93637.0,93637.0,Farm Labor Contractors and Crew Leaders ,2.786490404750462
93637.0,93637.0,Fresh Fruit and Vegetable Merchant Wholesalers ,2.7050484102075827
93637.0,93637.0,Grape Vineyards ,2.6973700802017193
93638.0,93638.0,Offices of Dentists ,4.768058821144151
93638.0,93638.0,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",4.587859208487834
93638.0,93638.0,Full-Service Restaurants ,4.3735465761792005
93638.0,93638.0,"General Freight Trucking, Local ",4.357582246168561
93638.0,93638.0,Electronics Stores ,4.183169376291709
93638.0,93638.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,3.5078281334578567
93638.0,93638.0,Gasoline Stations with Convenience Stores ,3.460918105259906
93638.0,93638.0,UNKNOWN,3.3526390363007588
93638.0,93638.0,"General Freight Trucking, Long-Distance, Truckload ",2.931181930848404
93638.0,93638.0,Private Households,2.9044339845487332
93639.0,93639.0,Pet and Pet Supplies Stores ,70.81019610175709
93639.0,93639.0,Wineries ,29.189803898242918
93641.0,93641.0,All Other Traveler Accommodation ,100.0
93642.0,93642.0,Recreational and Vacation Camps (except Campgrounds) ,100.0
93643.0,93643.0,Sawmills ,30.36299758907577
